Advice,Company,Target,Analyst,Date,Ticker,Reco
Buy,ABB India Ltd.,7500.0,Aditya Birla Money Limited,2024-04-08,,6699.75
Buy,Gayatri Projects Ltd.,1136.0,Ajcon Global,2016-09-09,,124.2484359741211
Buy,Sangam (India) Ltd.,424.0,Ajcon Global,2016-08-24,SANGAMIND,276.1499938964844
Buy,Gayatri Projects Ltd.,1136.0,Ajcon Global,2016-06-16,,119.10031127929688
Buy,Sangam (India) Ltd.,448.0,Ajcon Global,2016-05-10,SANGAMIND,277.04998779296875
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,2016-02-20,,109.38346099853516
Buy,Sangam (India) Ltd.,497.0,Ajcon Global,2016-02-20,SANGAMIND,269.8999938964844
Buy,Sangam (India) Ltd.,448.0,Ajcon Global,2016-02-19,SANGAMIND,269.8999938964844
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,2016-01-21,,112.28996276855467
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,2015-12-03,,139.95877075195312
Buy,Sangam (India) Ltd.,497.0,Ajcon Global,2015-11-26,,275.95001220703125
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,2015-11-20,,134.65867614746094
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,2015-11-10,,127.12644958496094
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,2015-10-23,,124.47640228271484
Buy,Salzer Electronics L..,371.0,Ajcon Global,2015-07-17,,
Buy,Tata Motors Ltd.,588.0,Ajcon Global,2015-06-19,,433.0499877929688
Buy,Cholamandalam Financ..,457.0,Ajcon Global,2015-06-19,,227.85009765625
Buy,Sarla Performance Fi..,,Ajcon Global,2015-03-30,,37.0
Accumulate,Swelect Energy Syste..,700.0,Ajcon Global,2015-01-21,,346.8333435058594
Buy,Enkei Wheels (India)..,192.0,Ajcon Global,2015-01-12,,
Buy,Bajaj Hindusthan Sug..,35.0,Ajcon Global,2014-11-28,,20.649999618530277
Buy,Munjal Showa Ltd.,198.0,Ajcon Global,2014-08-07,,148.9499969482422
Buy,Suzlon Energy Ltd.,45.0,Ajcon Global,2014-06-19,,25.434526443481445
Buy,Gujarat State Fertil..,100.0,Ajcon Global,2014-06-19,,75.75
Buy,Zydus Wellness Ltd.,580.0,Ajcon Global,2014-03-05,,479.1000061035156
Buy,ITC Ltd.,462.0,Ajcon Global,2013-12-30,,214.93333435058597
