Advice,Company,Target,Analyst,Date,Ticker
Buy,ABB India Ltd.,7500.0,Aditya Birla Money Limited,08 Apr 2024,
Buy,Gayatri Projects Ltd.,1136.0,Ajcon Global,09 Sep 2016,
Buy,Sangam (India) Ltd.,424.0,Ajcon Global,24 Aug 2016,SANGAMIND
Buy,Gayatri Projects Ltd.,1136.0,Ajcon Global,16 Jun 2016,
Buy,Sangam (India) Ltd.,448.0,Ajcon Global,10 May 2016,SANGAMIND
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,20 Feb 2016,
Buy,Sangam (India) Ltd.,497.0,Ajcon Global,20 Feb 2016,SANGAMIND
Buy,Sangam (India) Ltd.,448.0,Ajcon Global,19 Feb 2016,SANGAMIND
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,21 Jan 2016,
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,03 Dec 2015,
Buy,Sangam (India) Ltd.,497.0,Ajcon Global,26 Nov 2015,
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,20 Nov 2015,
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,10 Nov 2015,
Buy,Gayatri Projects Ltd.,1300.0,Ajcon Global,23 Oct 2015,
Buy,Salzer Electronics L..,371.0,Ajcon Global,17 Jul 2015,
Buy,Tata Motors Ltd.,588.0,Ajcon Global,19 Jun 2015,
Buy,Cholamandalam Financ..,457.0,Ajcon Global,19 Jun 2015,
Buy,Sarla Performance Fi..,,Ajcon Global,30 Mar 2015,
Accumulate,Swelect Energy Syste..,700.0,Ajcon Global,21 Jan 2015,
Buy,Enkei Wheels (India)..,192.0,Ajcon Global,12 Jan 2015,
Buy,Bajaj Hindusthan Sug..,35.0,Ajcon Global,28 Nov 2014,
Buy,Munjal Showa Ltd.,198.0,Ajcon Global,07 Aug 2014,
Buy,Suzlon Energy Ltd.,45.0,Ajcon Global,19 Jun 2014,
Buy,Gujarat State Fertil..,100.0,Ajcon Global,19 Jun 2014,
Buy,Zydus Wellness Ltd.,580.0,Ajcon Global,05 Mar 2014,
Buy,ITC Ltd.,462.0,Ajcon Global,30 Dec 2013,
Buy,Cummins India Ltd.,570.0,Ajcon Global,27 Dec 2013,
Buy,L&T Finance Ltd.,94.0,Ajcon Global,27 Dec 2013,
Buy,Mahindra & Mahindra ..,1305.0,Ajcon Global,26 Dec 2013,
Buy,Parekh Aluminex Ltd.,100.0,Ajcon Global,04 Dec 2013,
Buy,Heubach Colorants In..,960.0,Ajcon Global,02 Dec 2013,
Buy,Jubilant Pharmova Ltd.,176.0,Ajcon Global,25 Oct 2013,
Buy,Greaves Cotton Ltd.,87.0,Ajcon Global,23 Oct 2013,
Buy,RPG Life Sciences Ltd.,100.0,Ajcon Global,27 Sep 2013,
Buy,Sintex Industries Ltd.,30.0,Ajcon Global,23 Sep 2013,
Buy,ICICI Bank Ltd.,,Ajcon Global,06 Aug 2013,
Buy,Bank of India,245.0,Ajcon Global,29 Jul 2013,
Buy,HDFC Bank Ltd.,740.0,Ajcon Global,19 Jul 2013,
Sell,Reliance Industries ..,840.0,Ajcon Global,19 Jul 2013,
Sell,Kotak Mahindra Bank ..,,Ajcon Global,19 Jul 2013,
Sell,IndusInd Bank Ltd.,,Ajcon Global,12 Jul 2013,
Buy,Sangam (India) Ltd.,64.0,Ajcon Global,05 Jul 2013,
Buy,Sun Pharmaceutical I..,,Ajcon Global,13 Jun 2013,
Buy,DCW Ltd.,26.0,Ajcon Global,04 Jun 2013,
Buy,Eros International M..,350.0,Ajcon Global,18 Dec 2012,
Buy,Aurobindo Pharma Ltd.,,Ajcon Global,03 Oct 2012,
Buy,Singer India Ltd.,141.0,Ajcon Global,07 Sep 2012,
Buy,UPL Ltd.,163.0,Ajcon Global,02 Aug 2012,
Buy,Timken India Ltd.,320.0,Ajcon Global,18 Jul 2012,
Accumulate,Jyothy Labs Ltd.,,Ajcon Global,02 Jul 2012,
Buy,Tata Coffee Ltd.,,Ajcon Global,02 Jun 2012,
Buy,Shriram Finance Ltd.,750.0,Ajcon Global,03 May 2012,
