,0
0,Enkei Wheels (India)..
1,L&T Finance Ltd.
2,Parekh Aluminex Ltd.
3,Heubach Colorants In..
4,Sintex Industries Ltd.
5,Shriram Finance Ltd.
6,Gammon India Ltd.
7,Kalpataru Projects I..
8,MindTree Ltd.
9,Dewan Housing Financ..
10,LT Foods Ltd.
11,AGI Greenpac Ltd.
12,Dishman Pharmaceutic..
13,Lakshmi Vilas Bank L..
14,Brokerage Research R..
15,Automobiles & Auto C..
16,Crude Oil
17,Allahabad Bank [Merg..
18,Samvardhana Motherso..
19,World Economy and Ma..
20,India Macro Indicators
21,Hariom Pipe Industri..
22,Delhivery Ltd.
23,Fairchem Organics Ltd.
24,Medplus Health Servi..
25,Welspun Living Ltd.
26,Privi Speciality Che..
27,Berger Paints (India..
28,ZF Commercial Vehicl..
29,Sterlite Technologie..
30,GRUH Finance Ltd.
31,Lanco Infratech Ltd.
32,Hexaware Technologie..
33,Corporation Bank [Me..
34,ING Vysya Bank Limited
35,Cairn India Limited
36,Aditya Birla Nuvo Li..
37,Ion Exchange (India)..
38,Dalmia Bharat Ltd.
39,UCAL Ltd.
40,Srikalahasthi Pipes ..
41,Syndicate Bank [Merg..
42,Market Movement
43,Technology trends
44,Gujarat Borosil Ltd.
45,Gateway Distriparks ..
46,GlaxoSmithKline Cons..
47,Dalmia Bharat Ltd.(O..
48,Shriram City Union F..
49,360 One Wam Ltd.
50,Hindware Home Innova..
51,Hitachi Energy India..
52,Simmonds Marshall Ltd.
53,Easy Trip Planners L..
54,Shriram Properties L..
55,Fermenta Biotech Ltd.
56,SBI Home Finance Ltd.
57,Tata Steel Long Prod..
58,Bharat Financial Inc..
59,Star Ferro and Cemen..
60,Rubfila Internationa..
61,Kirloskar Pneumatic ..
62,International Travel..
63,GMR Airports Infrast..
64,Gloster Ltd.[Old]
65,South East Agro Indu..
66,Automobile Corporati..
67,Meghmani Organics Lt..
68,Geometric Limited
69,Deep Energy Resource..
70,Cosmo First Ltd.
71,3B BlackBio Dx Ltd.
72,Beta Drugs Ltd.
73,Jeena Sikho Lifecare..
74,Kwality Ltd.
75,One97 Communications..
76,Go Fashion (India) L..
77,Consumer Durables
78,Prabhat Dairy Ltd.
79,Garware Hi-Tech Film..
80,Jio Financial Servic..
81,International Homete..
82,Natural Vanaspati Ltd.
83,Prudential Sugar Cor..
84,Personal Finance & I..
85,Shelter Infra Projec..
86,Mutual Funds News
87,India Policy and Ref..
88,Asian Energy Service..
89,Jeevan Scientific Te..
90,Polaris Consulting &..
91,Advanta Limited
92,Oriental Bank of Com..
93,Trading Strategy
94,Oil and Gas
95,Rupee and Forex Move..
96,Banks
97,Commodities
98,Marico Kaya Enterpri..
99,Data Patterns (India..
100,Patanjali Foods Ltd.
101,Azad Engineering Ltd.
102,ASK Automotive Ltd.
103,Nexus Select Trust R..
104,Vijaya Diagnostic Ce..
105,PB Fintech Ltd.
106,Investment & Precisi..
107,NGL Fine - Chem Ltd.
108,Gold and Precious Me..
109,Veer Energy & Infras..
110,Medi Assist Healthca..
111,Jupiter Wagons Ltd.
112,Anand Rathi Wealth L..
113,Orient Tradelink Ltd.
114,Oriental Remedies & ..
115,Kriti Industries (In..
116,Ashapura Intimates F..
117,Viaan Industries Ltd.
118,Kesar Petroproducts ..
119,RCI Industries & Tec..
120,Pennar Engineered Bu..
121,Johnson Controls-Hit..
122,Simplex Projects Ltd.
123,Elin Electronics Ltd.
124,Hampton Sky Realty L..
125,Baid Finserv Ltd.
126,Radhika Jeweltech Ltd.
127,Tiger Logistics (Ind..
128,DCX Systems Ltd.
129,Ganesh Benzoplast Ltd.
130,Happy Forgings Ltd.
131,Steel Cast Ltd.
132,Fast Track Entertain..
133,Sandur Manganese & I..
134,GCV Services Ltd.
135,BSE Sensex
136,United Breweries (Ho..
137,Hinduja Foundries Li..
138,Monsanto India Ltd.
139,Anuh Pharma Ltd.
140,Software & Services
141,Pharmaceuticals & Bi..
142,Capital Goods
143,Metal and Mining
144,United Bank of India..
145,Divgi Torqtransfer S..
146,Environment
147,Punjab Fibres Ltd.
148,Ranbaxy Laboratories..
149,DFM Foods Ltd.
150,Stovec Industries Ltd.
151,Pondy Oxides & Chemi..
152,Veljan Denison Ltd.
153,Pakka Ltd.
154,Excel Crop Care Ltd.
155,Adani Energy Solutio..
156,Sadhana Nitro Chem L..
157,Sai Silks (Kalamandi..
158,Lloyds Engineering W..
159,Welspun Specialty So..
160,Lloyds Metals & Ener..
161,Black Box Ltd.
162,Sunil Hitech Enginee..
163,Vijaya Bank
